cbow,ctxt_size,emb_size,it,mean similarity,std similarity,qt processed
1,4,64,3,0.5454519553208492,0.21033098109334872,17827
1,4,64,5,0.5428819572516275,0.19728499265427943,17827
1,4,128,1,0.5391671824724603,0.24302204251594442,17827
1,4,128,3,0.48856529931084214,0.19461790976026966,17827
1,4,128,5,0.4724701024674626,0.17677539092062858,17827
1,4,256,1,0.5401567196795414,0.24332407585177873,17827
1,4,256,3,0.46660507173793203,0.1878875399455759,17827
1,4,256,5,0.4193561538293841,0.16085032974022728,17827
1,6,32,1,0.5805379499231157,0.26676970049860915,17827
1,6,32,3,0.5968871389172096,0.22915038239860278,17827
1,6,32,5,0.603737730759814,0.21481159103179026,17827
1,6,64,1,0.5388473427741618,0.25497730392209644,17827
1,6,64,3,0.5399385209082985,0.2127428085237596,17827
1,6,64,5,0.5371187689422334,0.19936571136852793,17827
1,6,128,1,0.5258040581587012,0.25058169455164103,17827
1,6,128,3,0.483619175817635,0.19684038332221104,17827
1,6,128,5,0.4702362678499382,0.1813655676707684,17827
1,6,256,1,0.525198796348343,0.2511213986972559,17827
1,6,256,3,0.45885785462088713,0.19101086247713278,17827
1,6,256,5,0.414886320621848,0.1640885662881419,17827
1,8,32,1,0.57503846005769,0.27030350117025387,17827
1,8,32,3,0.5917102205417293,0.23152635735817484,17827
1,8,32,5,0.5965821084596502,0.2175186160620895,17827
1,8,64,1,0.5365197128447855,0.2569947253780789,17827
1,8,64,3,0.5309203287788836,0.21487607831335398,17827
1,8,64,5,0.5344276391363605,0.2014169733126048,17827
1,8,128,1,0.5226040768369183,0.2549715709277094,17827
1,8,128,3,0.47761066765782745,0.20004325397199513,17827
1,8,128,5,0.4644634823332039,0.18375852077545896,17827
1,8,256,1,0.5239754397921037,0.2553441857678543,17827
1,8,256,3,0.45128575933765025,0.19449270364109647,17827
1,8,256,5,0.41044170076222897,0.1669446681737479,17827
1,10,32,1,0.5726010768508416,0.267029961698751,17827
1,10,32,3,0.5876619563943237,0.2294749697286153,17827
1,10,32,5,0.5916661034734748,0.21801326559287937,17827
1,10,64,1,0.5309171641005929,0.254180378183154,17827
1,10,64,3,0.5249754787222115,0.21397428818609224,17827
1,10,64,5,0.5258838456146605,0.20069952251737938,17827
1,10,128,1,0.5162411130143171,0.2516157682426354,17827
1,10,128,3,0.47065070493305133,0.1987741779233788,17827
1,10,128,5,0.4583578900298599,0.18365788685838444,17827
1,10,256,1,0.5171059206588311,0.25157434366163206,17827
1,10,256,3,0.4459087641917792,0.1907199836908262,17827
1,10,256,5,0.4024300070716617,0.16485303158286874,17827
